2020, 274,  1335, 1.300
2020, 275,   495, 2.300
2020, 275,  1095, 3.300
2020, 276,   255, 4.300
2020, 276,   855, 5.300
2020, 277,    15, 6.300
2020, 277,   615, 7.300
2020, 277,  1215, 8.300
2020, 278,   375, 9.300
2020, 278,   975, 10.300
2020, 274,   735, 1.300
 120, 130,  1265, 1.300
2020, 274,  1335, 1.300
2020, 275,   495, 2.300
2020, 275,  1095, 3.300
2020, 276,   255, 4.300
2020, 276,   855, 5.300
2020, 277,    15, 6.300
2020, 277,   615, 7.300
2020, 277,  1215, 8.300
2020, 278,   375, 9.300
2020, 278,   975, 10.300
2020, 274,   735, 1.300
 120, 130,  1265, 1.300
2020, 274,  1335, 1.300
2020, 275,   495, 2.300
2020, 275,  1095, 3.300
2020, 276,   255, 4.300
2020, 276,   855, 5.300
2020, 277,    15, 6.300
2020, 277,   615, 7.300
2020, 277,  1215, 8.300
2020, 278,   375, 9.300
2020, 278,   975, 10.300
2020, 274,   735, 1.300
 120, 130,  1267, 1.300
